all_gene1	three_prime_partners	num_three_prime_partners	five_prime_TCGA_Projects
ARHGEF7	LINC01435:ATP11A:SPATA7:EXOC4:KLF10:UBQLN1	6	PRAD:STAD:LUAD:SARC:BLCA:ESCA
BCLAF1	CELF2:MAP7:MAP3K5:COL21A1	4	BLCA:BRCA:HNSC:ACC:GBM
FAM160B1	AL356476.1:VTI1A:AL137025.1:ADK:ATP2A2:SHROOM3	6	UCS:PRAD:OV:PCPG:BRCA:UCEC
ADD3	XPNPEP1	1	BRCA
RASGRP3	XPNPEP1	1	STAD
TNKS2	ADD3-AS1:HECTD2:AL121987.2	3	BRCA:PRAD:BLCA
TYR	MXI1:MMP20:AC027779.1:GRM5-AS1:DISC1:MN1	6	SKCM:LGG
SMC3	MXI1	1	THCA:ESCA
PLEKHG4B	MXI1:ADCY2:MELK	3	BRCA:KICH:UCEC
PTPRK	SMNDC1:AC021054.1:STXBP6:ERO1A:AC007388.1:SPARCL1:AC093895.1:POPDC3:C6orf203:PLN:RSPO3:ECHDC1:AL590006.1:ARHGAP18:SAMD3:EPB41L2:ENPP1:TARID:HBS1L:IL20RA:HECA:AL035446.1:NMBR:MTRF1L:BCKDHB	25	CHOL:LUAD:BRCA:BLCA:COAD:ESCA:READ:STAD:PRAD:OV:UCEC
CCDC186	AL355512.1	1	LGG
TCF7L2	AL355512.1:VTI1A:CASC2:TEX264:CHD7	5	LUSC:READ:STAD:LIHC:THCA:KIRC:UCEC:OV:COAD
SHOC2	DUSP5:RBM20:PDCD4:TMEM178A	4	STAD:ESCA:BRCA:PRAD
LCOR	RBM20:PNLIPRP3:CC2D2B:CPNE8:MAP2K6:TNFRSF21	6	LIHC:LUAD:PRAD:BRCA:BLCA
ARHGEF12	PDCD4:AP003063.2:SIK3:CEP164:MCAM:AP003393.1:POU2F3:CNTN5:LINC00885	9	STAD:BRCA:SARC:PCPG:LGG:LUAD
AC068896.1	BBIP1:ZBTB7C:KCNN1:LY86	4	LUAD:OV
NCOA3	ACSL5:TVP23C:MLLT6:KLK1:PADI1:GGT7:SGK2:EYA2:BCAS4:PARD3B:ARHGAP26:KCTD20:PRIM2	13	STAD:UCEC:LUSC:LUAD:UCS:OV:BRCA:CESC
ZDHHC6	ACSL5:TCF7L2:CTIF	3	LUAD:STAD:BRCA
B4GALT4	ACSL5:CBLB	2	LUSC:LGG
PPP6R2	ZDHHC6:CBX1:AURKC:EMID1:SELENOO:SBF1	6	UCS:LIHC:SARC:BRCA:BLCA:ESCA:STAD
STUM	VTI1A	1	LUAD
SIRT1	CELF2:DNAJC12:ZMIZ1-AS1:NRG3-AS1:MAL2	5	LUAD:LUSC:BRCA:SARC
ZNF366	AL139120.1	1	SARC
TNPO1	AL139120.1:GTF2H1:RUFY1:ZNF366:ENC1:GABRE	6	SARC:BRCA:KIRC:PRAD:ESCA
PIK3IP1-AS1	TCF7L2:LIMK2	2	LUSC:LUAD
NFAT5	TCF7L2:CRYM:NUP93:CCDC113:CDH3:SNTB2:VPS4A:CYB5B:CHST4:TAT-AS1:IST1:AC099524.1:DENND2C:HHAT:CSMD2	15	PRAD:READ:MESO:BLCA:LUSC:UCEC:COAD:STAD:PCPG:BRCA:SKCM:LUAD:KIRP
CHD7	TCF7L2:EMID1:CCDC58:DUSP26:NSD3:TACC1:ANK1:KAT6A:TOX:AC090152.1:ASPH	11	COAD:UCEC:BRCA:OV:ESCA:GBM
LRMDA	HABP2:RUFY2:VCL:ADK:VDAC2:ZNF503-AS1:CYP2C19:DOK5:AC005165.1	9	STAD:BRCA:LUAD:OV:BLCA:UCEC:LUSC:ESCA
FGFR2	CCDC186:SHTN1:AC025947.1:ATE1:NSMCE4A:TACC2:BICC1:CCDC6:USP10:AP1M1:LINC01358:ENPP2:CCAR2:OFD1	14	CHOL:UCEC:BRCA:BLCA:OV:LUAD:STAD:LIHC:LUSC:THCA
AC016831.1	AFAP1L2:MRPS33:WASHC5	3	PRAD:LUSC:COAD
INPP5A	AFAP1L2:PPP2R2D:LRRC27:CFAP46:TUBGCP2:FRMD4A:FAM149B1:DLG2	8	LGG:BRCA:OV:SKCM:BLCA:SARC
GRID1	AFAP1L2:WAPL:GLUD1:HECTD2:PGPEP1L	5	SARC:BRCA:BLCA:SKCM
AFAP1L2	ABLIM1	1	THCA:OV
ARID5B	ABLIM1:AC090912.1:AC090912.2	3	BRCA:STAD:ACC
GOPC	ABLIM1	1	BRCA
LINC01535	USP6NL:ZNF568	2	PRAD:KIRP
SEMA4B	AL137025.1:CERS3:CIB2:MRPS11:MIR9-3HG:ZNF710:AC092769.1	7	BRCA:LUAD:STAD:LIHC:LUSC
CASP7	TRUB1:LRRC27	2	ESCA:PRAD
PTEN	ATRNL1:EMX2:NRP1:GRID1:MINPP1:ATAD1:RNLS:STAMBPL1:SLC16A12-AS1:KIF20B:HECTD2:KCNMB4:WNK1:AC091180.4:C1orf226:RALGAPA2:PYGB:AC093772.1	18	PRAD:LUSC:BLCA:LGG:PAAD:CESC:BRCA:OV
TECTB	ATRNL1	1	BRCA
KAT6B	CCDC172:RTKN2:AC022400.1:ADK:LRMDA:KANSL1:SH3BP5L:DDX4	8	BRCA:LIHC:PRAD:LUAD:OV:GBM:SARC
ACTA2	PNLIPRP3	1	HNSC
ENO4	PNLIP	1	OV
KIAA1429	PNLIPRP1:CAMK2A:SYBU:AC024382.1	4	LUAD:BRCA:LGG:GBM
PDZD8	ENO4:CACUL1:AC087632.1	3	SKCM:SARC:LUSC
AC023283.1	SHTN1	1	OV:ACC
ACIN1	SHTN1	1	LUSC
SHTN1	EMX2OS:PRDX3:FAM24B:C10orf90:DZANK1:YTHDF1	6	BRCA:BLCA:LIHC:PRAD:OV
RAB11FIP4	AC022395.1:NF1:ASIC2:ARHGAP23:RAD51C:NPLOC4	6	STAD:LIHC:BLCA:PRAD:BRCA:UCEC
USP54	CASC2:PCDH15:TSPAN15:MYOZ1:CAMK2G:AP3M1:ADK:ZNF503-AS2:MYOF:PSMA6:PIK3CD:AC097375.1	12	OV:LIHC:ESCA:STAD:SARC:BLCA:UCEC
ZNF224	CASC2:CYP2S1	2	LGG:SARC
CAMK1D	PROSER2:DHTKD1:TSPAN18	3	OV:BRCA
CACUL1	EIF3A:IL1RN	2	BRCA:UCEC
USP6NL	UPF2:CCDC3:FRMD4A:AC044781.1:FAM107B:CDNF:ARMC3:ANKRD16:VPS26A:ITIH5:SVBP:AHCY:GORASP2:RNF216:LINGO2	15	SKCM:BLCA:STAD:LUSC:BRCA:OV:SARC:LUAD:PRAD:UCEC
INPP5F	GRK5	1	SKCM
PPP2R2D	RGS10	1	SARC
GDE1	TIAL1	1	PRAD
PPP2R5C	UPF2:LINC02314:AL118558.1:PRKD1:FOXN3:SCN1B:CCDC28B:AF181450.1	8	BRCA:OV:UCEC:ACC:STAD:LIHC:LUSC
VGLL4	UPF2:ATG7:RAF1:TMEM40:IQSEC1:SH3BP5:FXR1:CHL1:LIMD1:SYNPR-AS1:SYNPR:GRM7-AS1:AL355674.1	13	BLCA:OV:CESC:LIHC:STAD:CHOL:COAD:BRCA:HNSC:PRAD
SEC23IP	INPP5F:RPS3A	2	LIHC:LUAD
FAM107B	MCMBP:FAM171A1:CALML3-AS1:SEM1:AC115618.1	5	STAD:OV:PRAD
ATG4B	SEC23IP:DTYMK	2	STAD:GBM
SLC39A9	SEC23IP:USP15:RAD51B:EXD2	4	OV:BRCA:LUAD
RFFL	UPF2:NLK:RAD51D:ADAM32	4	STAD:BRCA:BLCA:LIHC
TACC2	PLPP4:WDR11-AS1:CTBP2:TCERG1L:TMEM26-AS1:ZNF365:MICU1:HS1BP3:C1QTNF3-AMACR:MAP3K5	10	STAD:ESCA:BRCA:LUAD:PRAD:PAAD
AL360181.5	PLPP4	1	SARC
TMEM132B	PLPP4:AC078923.1:MOCS2:AC090796.1	4	STAD:UVM:LGG
MOB1B	PLPP4	1	BRCA
C10orf88	PLPP4	1	SKCM
SREBF2	PLPP4:RNF214:RBX1:ACO2:MEI1:EFCAB6:FMNL2	7	LUAD:LUSC:SKCM:BRCA
RAPGEF5	PLPP4:CFDP1:MRPS22:AL589740.1:STEAP1B:TOMM7:NT5C3A	7	BRCA:LUAD:LUSC:SKCM:UCEC:ESCA:STAD
CDK1	WDR11:NRG1	2	BRCA:BLCA
AGAP1	WDR11:SNX1:AANAT:IGSF21:C1orf115:RHOU:WRB:MFSD9:CIR1:LINC01807:SP140L:DIS3L2:UGT1A5:ACKR3:AC112715.1:UBE2F:ATG4B:AC131097.2:ADAMTS2:PACRG:RINT1:PINX1:ZC2HC1A	23	BRCA:SARC:LUSC:LGG:ESCA:PRAD:OV:COAD:LUAD:LIHC:STAD:HNSC:READ:UCEC
SLC7A2	DHTKD1:TERT	2	OV:LIHC
VCL	FGFR2:SEC24C:ZSWIM8:AC022400.1:AC022400.2:PLAU:SAMD8:LRMDA:AC024603.1:AC110285.3:DACT3-AS1:AL355860.1:AC092164.1	13	THCA:HNSC:OV:BRCA:ESCA:SARC:UCEC:STAD:PRAD
CCAR2	FGFR2:CERNA1:PPP3CC:SORBS3:PDLIM2	5	LUSC:PRAD:HNSC:OV:READ
SCD	SEC61A2:GPR19	2	LGG:BRCA
KLK2	FGFR2:RPLP0:MYO15B:AC139530.2:NECTIN2:ETV1:RPL30:SDCCAG3	8	PRAD:UVM
KLK3	FGFR2:AC012181.3:NDUFA3:AKR1A1:LRRC41:SQSTM1:PLPP5	7	PRAD
BMI1	SEC61A2	1	LGG
OPTN	SEC61A2	1	LUSC
GNGT1	NUDT5:VPS50	2	BLCA:BRCA
NUMA1	ADARB2:YAP1:PPP2R5B:PITPNM1:SHANK2:FOLR1:PDE2A:C2CD3:IQSEC3:AATF:AL512638.2:AL354714.1:ABHD12:STAU1:AC004997.1:CADM2:CNTNAP3	17	BRCA:SKCM:LGG:LIHC:ESCA:OV:LUSC:UCEC
DLEU2	ATE1:HTR2A:MED4:LINC00462:RNASEH2B-AS1:RNASEH2B:DIAPH3-AS1:BMP4	8	LGG:GBM:BLCA:SKCM:HNSC:BRCA:LUAD
SLTM	ATE1:EPB42:GTF2A2:UACA:ADGRL1	5	BRCA:STAD:ESCA
ACSL5	ATE1	1	COAD
GNL3L	NSMCE4A:GABRB3	2	BRCA:SARC
ZMIZ1	NSMCE4A:AL117339.5:C10orf107:AC022540.1:ADK:LRMDA:AC012560.1:ZCCHC24:SFTPD:CPEB3:PXYLP1:AL139095.4:DENND2A	13	BRCA:OV:UCEC:UCS:STAD:PRAD:HNSC
PLEKHA1	BTBD16:CYP2C19:FAM187B	3	LUSC:ESCA:BRCA
ZNF438	CDC123	1	SKCM
PSTK	PLEKHA1:YME1L1	2	LUAD:BRCA
HTRA1	ARMS2	1	LIHC
DMBT1	ARMS2	1	ESCA
TIAL1	CUZD1	1	BRCA
ACADSB	PSTK	1	OV
NF2	AL160290.2:PIAS1:HSD3B2:CLTCL1:EWSR1:MORC2:GRAP2	7	HNSC:MESO:BRCA:LUAD:LUSC
FAM175B	AL160290.2	1	LUAD
PCNP	NKX1-2:ATR	2	OV:PRAD
ZRANB1	LHPP	1	STAD
TRIO	FAM53B:MRPL51:AL133523.1:PPP2R5E:IFT52:DAP:TERT:DNAH5:FBXL7:MARCH11:CDH18:LINC02211:ADAMTS12:RAI14:LIFR:ZNF131:SLC9A3:SNHG18:CLIC5:IQUB:AC226118.1:AL162254.1:UHRF2	23	BRCA:SARC:HNSC:LUAD:LUSC:STAD:SKCM:LIHC:PRAD
CPXM2	AC068896.1	1	KIRC
SORBS2	AC068896.1:MRPS35:OS9:ARHGAP27:ELK4:WWC2-AS1:AIF1:AL353693.1	8	LIHC:PRAD:GBM:BRCA
AL731577.2	FAM175B:TAF12:AC104791.1	3	BRCA:PRAD
ATE1	ZRANB1	1	BRCA
ARAP3	CTBP2	1	UCEC
PPP6R3	CTBP2:YAP1:ARHGAP1:RHOD:LRP5:FADD:SHANK2:POLD3:ACER3:SSH2:RACK1:AL138889.1:MGAM:APTR:ERICH1:ATP6V0D2	16	STAD:BLCA:LUSC:LIHC:PAAD:BRCA:SKCM:OV:ESCA:SARC
FAM53B	CTBP2	1	OV
QPRT	TEX36:SPN	2	BRCA:OV
LHPP	FANK1	1	GBM
EIF4EBP1	ADAM12:POLR1D	2	BRCA
SF3B3	ADAM12:CTCF:TANGO6:AC012184.2:COG4:CDH15	6	TGCT:OV:BRCA:BLCA:LUAD
FOCAD	C10orf90:PDZRN4:CD2:GGT5:AC109779.1:SMIM4:TTC39B:PSIP1:DENND4C:HACD4:CDKN2B-AS1:LINC01239:AC017067.1:AL391117.1:ELAVL2:IFT74:MOB3B	17	PRAD:UCEC:BRCA:PCPG:SKCM:STAD:LUAD:BLCA:LUSC:GBM
VTI1A	C10orf90:SUGP2:HDAC1:GLS:GTF2H5:TAX1BP1	6	LUAD:PRAD:UCS:STAD:OV:ESCA
SMAD2	C10orf90:AC090912.2:ZBTB7C:CD226	4	LUAD:COAD:ACC:BRCA:LUSC
PARD3	CAMK1D:NSUN6:ARMC3:ARMC4:ARHGAP12:CUL2:AL392046.1:CCNY:BMS1:IL2RA:ADAMTS17:ZNF521:AC011474.1:NRXN1:COLQ:LYAR:ARHGAP24:FAM83B	18	OV:LUSC:BRCA:HNSC:STAD:UCEC:PRAD:ESCA:LGG:SKCM
NHLRC3	DOCK1	1	STAD
POLL	AL359094.1	1	GBM
ERLIN1	DOCK1:FIP1L1	2	DLBC:KIRC
MGMT	DOCK1	1	LIHC
KCNMA1	DOCK1:MSMB:ECD:DLG5:POLR3A:RPS24:ESD:FARP1:SERTAD1:RFX2:HIVEP3	11	LIHC:BRCA:OV:SARC:PRAD:ACC:PCPG
IDE	CAMK1D:MYOF:RUFY1	3	PRAD:STAD:SARC
PHF21A	CAMK1D:ALKBH3:AC116021.2:AMBRA1:ARHGAP1:CKAP5:PACSIN3:GDPD5:AP003086.2:NUTF2:TTC25:CNP:CCDC178:LEUTX:ACSL6	15	BRCA:LUAD:OV:STAD:UCS:LUSC:BLCA:PCPG:ESCA:PRAD
TNS3	FOXI2:KLF16:FGF10:ZNRF2:ELMO1:PKD1L1:AC091770.1:PSPH:ALG13	9	BRCA:STAD:OV:LUAD:SKCM:SARC
ATP8B4	MGMT:OCA2:DPH6:LINGO1	4	BRCA:PRAD:SARC
FRAS1	MGMT:AP002449.1:SPATA5:MGST2:DCK:CCSER1	6	UCEC:LUSC:STAD:OV:BRCA
HMGXB4	MGMT:AL021707.2	2	SKCM
ZNF585A	CCDC3:GRAMD1A:FXYD1:DPF1	4	PRAD:BRCA:OV
AC012309.1	CCDC3	1	PRAD
HECTD2	GLRX3:PCGF5	2	BRCA
DDX58	TCERG1L:CHRM3:NDUFB6:BAG1:PRSS3	5	LUAD:LGG:BRCA:SKCM:STAD
ROR2	TCERG1L	1	UCEC
MCM10	OPTN	1	BRCA
DVL1	OPTN:PLCH2:ITPA	3	UCS:SARC:OV
ANKRD26	MCM10	1	BLCA
ZBTB24	STK32C	1	SARC
MYO19	STK32C:HYKK:SSH2:SLC11A1	4	HNSC:PRAD:UCEC:OV
LIPG	UCMA	1	BLCA
RPAIN	LRRC27:TAF10:STX8:FHIT:AL954642.1	5	BRCA:ACC:SARC
ABR	PWWP2B:ACAD10:LINC01048:GAS7:YWHAE:CRK:PITPNA:SMG6:LINC01989:DDX42:MAN2B1:STAP2:TMCO1:AC007319.1:ADGRB1	15	LAML:BLCA:SARC:LUSC:ESCA:LUAD:LGG:TGCT:BRCA:UVM:STAD:SKCM
STK32C	PWWP2B:ADGRA1:MMADHC	3	STAD:KIRC:OV
SIPA1L1	PWWP2B:AC069360.1:LINC01269:AC004816.2:PCNX1:PAPOLA	6	THCA:BRCA:OV:BLCA
FAM49B	PWWP2B:CALML3-AS1:HK1:AK5:MRPL13:CASC8:PVT1:AC011257.1:ASAP1:TG:UNC5D:KAT6A:PREX2:PSKH2	14	STAD:LUAD:BLCA:PAAD:HNSC:BRCA:PRAD:CESC:SKCM:LUSC:OV
CELSR1	CFAP46:FUS:CD52:SEZ6L:MAFF:PACSIN2:KIAA1644:CERK	8	SKCM:STAD:LUAD:LUSC:BRCA:HNSC:OV
MAN1C1	CFAP46:AC005702.2:TMEM50A	3	ESCA:BLCA
KNDC1	LINC01168	1	KIRP
MTG1	ADGRA1:ZNF511:PAOX:ZNF350	4	STAD:BRCA:CESC
MICALL1	ADAM8:SHC1:LL22NC01-81G9.3:LINC02224	4	STAD:UCEC:HNSC:KIRP
TYMS	TUBGCP2:SLC12A4:YES1:ATP1A1:WFDC2:NOP58:C1QTNF3-AMACR	7	STAD:ESCA:LUSC:BRCA:OV:CESC:LUAD:PRAD
FAM155A	TUBGCP2:FGF14:AL157778.1	3	KIRC:LUSC:HNSC
C2orf69	ZNF511	1	STAD
AHSG	ECHS1	1	LIHC
TUBGCP2	ECHS1:SORBS1	2	LUSC:LGG:SARC
ZFAND3	ECHS1:RPTOR:AC006504.5:URI1:AC024559.1:PDZD2:SYNE1:C6orf48:RPS10-NUDT3:SPDEF:Z84484.1:KCTD20:C6orf89:TBC1D22B:RNF8:CMTR1:AL353597.1:MDGA1:BTBD9:LYRM4:DDHD2:EXD3:UBQLN1	23	OV:SKCM:BLCA:UCS:STAD:BRCA:GBM:COAD:PRAD:THCA:LUSC:MESO:ESCA:LUAD:UCEC
ENTPD1-AS1	PAOX:LIPM	2	ACC:SKCM
ZNF346	PAOX	1	BRCA
CYP2E1	MTG1:FTCD:REG3A:ADH1B:C1QTNF3-AMACR	5	LIHC
AC134511.1	BEND7:PPME1:NR1H4:STAT6:SLC16A7:WIF1:MSRB3:LINC02442:MDM2:LYZ:LINC01481:CNOT2:TRHDE:SYT1:MBNL2:ACVR1:B3GAT2:JAZF1:GRIA3:PIGA	20	OV:BRCA:SARC:ESCA:LUSC:STAD
CCNY	ADARB2:AL158834.2:CUL2:ZNF248:ANK3:VWA3B:DENND1A	7	OV:ESCA:BLCA:LUSC:BRCA
BEND7	FRMD4A	1	PRAD
ARPP21	FRMD4A	1	LGG
ZNF248	FAM107B	1	BLCA
AC004554.2	FAM107B	1	STAD
PRPF38A	CDNF:ABCD3	2	SARC:SKCM
DNAJC1	DCLRE1C:PIP4K2A:NDUFAF6:PLEKHF2	4	BRCA:ESCA:DLBC
NSMCE2	DCLRE1C:PACRG:EXT1:SNTB1:AC104036.1:NDUFB9:LINC00964:SQLE:PCAT1:ASAP1:COL22A1:PBX3	12	BRCA:HNSC:SARC:PRAD:LUSC:COAD:KICH:STAD:OV
IFNAR1	DCLRE1C:IL10RB	2	LUAD:ACC
ENOSF1	MEIG1:PPT1	2	ESCA:SARC
ANXA4	MEIG1:BCAR4:PKN1	3	ESCA:UCEC:LIHC
MPP7	RPP38:ZEB1	2	OV:ESCA
ADK	RPP38:LRRTM3:LRMDA:KCNMA1:AL355315.1:ATP5B:TTC23	7	BRCA:ESCA:UCEC:LUSC
DCLRE1C	NMT2:MPP7	2	BLCA:SKCM
DOCK7	NMT2:PPP1R12B:OMA1:PATJ:TTC37	5	SARC:BRCA:PRAD:LAML
C11orf80	FAM171A1:BBS1:RBM14:PPP6R3:HOXB7:RPS6KB1	6	UCEC:BRCA:LUAD:STAD
NMT2	FAM171A1	1	ESCA
NET1	ADARB2-AS1:AKR1C3:RIMKLB:ACSM3:GABRA3	5	UCEC:LUSC:TGCT:PRAD:OV
FBXO18	ITGA8:NET1	2	KIRC:KIRP
ZNF37A	MINDY3	1	LGG
ITGA8	MINDY3	1	SARC
SGMS1	MINDY3:VSTM4:NRG3-AS1:GRID1:GAB2:PSMB2	6	STAD:PRAD:HNSC:LUAD:BRCA
NCOA4	RSU1:RET:C10orf25:MSMB:SRSF7:CD96	6	CHOL:THCA:PRAD:TGCT:BLCA:LUSC
MINDY3	RSU1	1	BRCA:STAD
MTPAP	CUBN	1	BRCA
RUBCNL	CUBN	1	SARC
RSU1	CUBN:HACD1:MALRD1:PARG:LARP4B:FANCI:BAALC	7	BRCA:OV:LUAD:STAD:CHOL:SARC:BLCA
FAM171A1	CUBN:ANKRD26:SVIL-AS1:AC025822.2	4	STAD:LGG:HNSC:BRCA
ABI1	CUBN:CCDC7:AC090592.1:PTP4A3	4	SKCM:BRCA:LGG
L3MBTL4	TRDMT1	1	BLCA
RPS12	VIM:ALDOA:HDGF	3	SKCM:STAD:UCS
CLU	VIM:CERCAM	2	KIRC:OV
STAM	VIM:EPYC:AL162384.1	3	SKCM:SARC:CESC
FLNA	VIM:ACTG2:CMC4	3	SARC:PRAD:LUSC
TRDMT1	ST8SIA6	1	OV
KITLG	ST8SIA6:CCDC6:AC090673.1:LINC00158:TNNC1	5	SARC:LUSC
MED25	ST8SIA6:TRPM4:AP2A1:SIGLEC12:MAPK15	5	SKCM:BRCA:LUAD
CACNB2	ST8SIA6-AS1:STAM	2	BRCA:KIRC
ALG14	HACD1:C1orf194:NRDC:JAK1	4	SKCM:BRCA:BLCA
BCL11A	HACD1	1	ESCA
TMEM127	STAM	1	BLCA
AC009403.1	ZMYND11:EIF2AK4:TAP1:GIMAP8	4	BRCA:SKCM:DLBC:LGG
PRPF18	CACNB2:LINC00708	2	BRCA:UCS
ANTXR1	AL450384.2:PLEK	2	ACC:BRCA
ARL5B	NSUN6:CCDC102B:HMGB3	3	LUSC:LGG:ESCA
PRR16	MALRD1:LINC02216:HSD17B4:SCAMP1	4	PRAD:LGG
