all_gene2	five_prime_partners	num_five_prime_partners	three_prime_TCGA_Projects
SNHG14	GABRG3:CYFIP1	2	PRAD:BRCA
UBE3A	RFX7	1	BRCA
LINC02250	ZSCAN29	1	OV
ATP10A	UBE3A	1	OV
LINC02346	ZNF8	1	OV
GABRB3	APBA2:GNL3L	2	BRCA:SARC
GABRA5	NEDD4:VCAN	2	BLCA:MESO
GABRG3	FAM189A1:OSBPL3	2	BLCA:BRCA
OCA2	APBA2:GABRG3:PDGFA:ATP8B4	4	MESO:OV:SKCM:PRAD
HERC2	OCA2:WDR48	2	SKCM:BLCA
FAM189A1	C15orf41	1	LUSC
TJP1	UBR1:SUPT6H	2	STAD:BRCA
TRPM1	DPP8:MYO5A:FMN1:MEIS2	4	SARC:SKCM:STAD
KLF13	CHRNA7:FNDC3B	2	ESCA:HNSC
OTUD7A	TBC1D22A	1	SKCM
SCG5	ZNF385B	1	BRCA
AC123768.1	AC087632.1:DERL3	2	COAD:OV
FMN1	OTUD7A:APAF1:UBALD2:ATXN7L3	4	GBM:STAD:SKCM
RYR3	LARP4:ELAC2	2	BRCA
AC010809.1	MTMR10	1	PCPG
AVEN	FMN1:CDK5RAP2	2	SKCM:GBM
EMC7	TTBK2	1	OV
KATNBL1	CARD6	1	SARC
NOP10	AC087473.1	1	SKCM
NUTM1	NSD3	1	LUSC
LPCAT4	MPO	1	LAML
GOLGA8B	CLPB	1	ESCA
AC087457.1	GOLGA8B:TCF12	2	BRCA:LUAD
ZNF770	ADAM10	1	LGG
DPH6	ATP8B4:DLEU1:SLCO3A1	3	BRCA:COAD
DPH6-AS1	CEP152:SLCO3A1	2	LUSC:COAD
C15orf41	IGF1R:WWOX:CSMD1:UBAP2	4	BRCA:GBM:LUSC:OV
MEIS2	C15orf41:ZNF283	2	GBM:SARC
AC068875.1	MEIS2	1	UCEC:OV
SPRED1	LPCAT4:LARP7	2	ESCA:KIRC
FAM98B	C15orf41	1	BRCA
AC013652.1	MTMR10	1	LUSC
AC113146.1	NFU1	1	GBM
THBS1	BUB1B	1	BRCA
FSIP1	EHD4	1	BRCA
GPR176	MYO1E:FSIP1:EHD4:AC037198.1	4	STAD:BRCA:SKCM
EIF2AK4	AC009403.1:BUB1B:SRP14-AS1	3	SKCM:OV:HNSC:BRCA
SRP14	TRPM7	1	BLCA
SRP14-AS1	ESR1	1	BRCA
BUB1B	RYR3:C11orf84:MARK2	3	LGG:LUSC
KNSTRN	BAHD1	1	LIHC
IVD	SPINT1	1	BRCA
AC091045.1	BET1L:RAD51	2	OV:CESC
RPUSD2	MAPKBP1:EPB42	2	MESO
RAD51	SLC2A9:CHP1:OIP5-AS1:LONP1	4	BLCA:LUAD:BRCA:CESC
DNAJC17	RAD51-AS1:RAB10	2	UCEC:OV
SPINT1-AS1	RMDN3	1	OV
INO80	TMBIM4:DNAJC17:RMDN3	3	BRCA:OV:STAD
AC020661.3	NUSAP1	1	UCS
EXD1	LRRC75A-AS1	1	SARC
CHP1	OTUD7A	1	LGG
OIP5-AS1	RTF1	1	LUAD
OIP5	MYO5A	1	BRCA
NUSAP1	MGA	1	ACC
NDUFAF1	STRA6	1	UCS
RTF1	MGA:TYRO3	2	OV:ESCA
ITPKA	CHCHD3	1	COAD
LTK	UACA	1	THCA
RPAP1	NAP1L4	1	BRCA
TYRO3	SLCO3A1	1	STAD
AC016134.1	SNUPN	1	SARC
MGA	CDKN2A:STARD9	2	BLCA:LGG
MAPKBP1	PLCB2	1	MESO
JMJD7	SPG11	1	HNSC
EHD4	TRPM7:MAPKBP1:RTF1:VPS13C	4	BLCA:MESO:PRAD:SARC
PLA2G4E	CHST12	1	SKCM
PLA2G4D	MGA	1	MESO
VPS39	MAPKBP1:CNIH4:CLIC2	3	BLCA:LIHC:LUAD
TMEM87A	VPS39:TPRN	2	LAML:BRCA:CESC
GANC	API5	1	SKCM
CAPN3	USP25	1	LUSC
ZNF106	TBC1D16	1	KIRP
SNAP23	FMN1	1	SKCM
UBR1	EHD4:TTBK2:TMEM87A	3	MESO:LUSC:THCA:BRCA
EPB42	UBR1:SLTM:EIF2AK4:MAPKBP1	4	SKCM:STAD:HNSC:MESO
TMEM62	SPECC1L	1	OV
CCNDBP1	NFASC	1	SKCM
TGM5	CASC4	1	BRCA
ZSCAN29	UBR1	1	STAD
TP53BP1	UBR1:PRPS2:URM1	3	STAD:ESCA:OV
STRC	MGA	1	SARC
CATSPER2	RTF1	1	KIRC
PDIA3	WDR76:CASC4	2	BRCA:CESC
HYPK	KRT14	1	HNSC
MFAP1	PPIP5K1	1	STAD
FRMD5	MECOM	1	LUAD
CASC4	CTDSPL2:AKAP13:EIF3J:ACKR3	4	OV:MESO:BRCA
CTDSPL2	GTF2A2	1	STAD
EIF3J	SORD:B2M	2	OV:BLCA
SPG11	TMOD3	1	UCS
PATL2	SPG11	1	OV
B2M	STK24:AC025580.2:GABPB1:USP24:RPL9:LIN54:ZNF212:MAL2:AC011603.3	9	STAD:HNSC:ESCA:LUAD:LAML:MESO:READ:LUSC
TERB2	ADAL:ADAM10:GALK2	3	SARC:BLCA:HNSC
AC091117.2	NFATC3	1	BLCA
DUOXA2	SPATA5L1	1	OV
SPATA5L1	TTBK2	1	LUAD
AC025580.2	JMJD1C:BLOC1S6	2	PRAD:LIHC
SLC30A4	AP001122.1	1	PRAD
AC090527.2	SCMH1:ANKRD17:RAB27A	3	PRAD:LUAD:BRCA
SQOR	RAB27A	1	BRCA
AC023905.1	DPP8	1	SARC
SEMA6D	BCKDHB	1	ESCA
AC092078.1	C11orf84:INTS13:RFX7	3	BRCA:LUAD
AC092078.2	RFX7	1	BRCA
MYEF2	USP8:ANKEF1	2	HNSC:ESCA
SLC12A1	PTPN9:ADAMTS17:TRADD	3	SARC:BRCA
FBN1	FAM189A1:NSD2:AC074032.1:COX14:PYGO1:LEO1:NHSL1	7	SARC:PRAD
SHC4	DPH6	1	COAD
SECISBP2L	USP3	1	LGG
COPS2	SECISBP2L:MYEF2	2	UCEC:SKCM:STAD
GALK2	MYO5A:GABPB1	2	SARC:BRCA
FAM227B	ANKRD30A:AGBL1-AS1:DTWD1	3	BRCA
FGF7	GAB2:TLN2:FAM227B	3	SKCM:BRCA:LUSC
DTWD1	UBE3A	1	CESC
ATP8B4	TIPIN:GAS7:NAA20	3	SARC:BRCA
SLC27A2	CSNK1G1:MAP1B:ZFPM2	3	ESCA:PRAD:SARC
USP8	AC025580.2:AC058822.1:PXDNL	3	PAAD:SARC:SKCM
TRPM7	GABPB1:USP8:DHX8	3	BLCA:BRCA:ESCA
SPPL2A	IQGAP1:KAT6A	2	HNSC:ESCA
AC021752.1	SPPL2A	1	OV
AP4E1	CSNK1G1	1	KICH
TNFAIP8L3	SPPL2A	1	LUSC
CYP19A1	COMMD9:UBE3A:KIAA1644	3	LIHC:BRCA:ESCA
MIR4713HG	GLDN:EP300	2	LUAD:SKCM
GLDN	IGDCC3:AC091544.7	2	LGG:SKCM
AC066613.2	CDKN2B-AS1	1	GBM
DMXL2	TP53BP1	1	BRCA
LYSMD2	VPS39	1	LGG
TMOD3	EIF2AK4	1	ESCA
LEO1	IREB2	1	PRAD
MAPK6	USP4:GALK2	2	OV:BRCA
AC023906.5	GCN1	1	LUAD
AC023906.2	PAK1	1	HNSC
GNB5	BCL2L10:C6orf48	2	CESC:KIRC
CERNA1	CCAR2	1	PRAD
MYO5C	VWA8:UBE3A:ELP3:DSTN	4	CESC:LGG:HNSC:PRAD
MYO5A	HERC1:GATAD2A:MEIS2:PRKDC:DMXL2:OIP5-AS1	6	KICH:BLCA:BRCA:LUAD:STAD
ARPP19	MYO5C	1	OV
ONECUT1	GPR141	1	LAML
AC044791.1	MGA	1	LUAD
WDR72	CMC1:GALT:IL11RA	3	KICH:SARC
UNC13C	TRIOBP	1	LUAD
RAB27A	RSL24D1:MAP2K5	2	LUSC:HNSC
CCPG1	ZNF33B:CHD2	2	LUSC:SARC
DNAAF4-CCPG1	AC092691.1	1	SKCM
C15orf65	TPD52	1	PRAD
DNAAF4	CCPG1:RAB27A	2	HNSC:BLCA:LGG
PRTG	LINC-PINT	1	LUAD
NEDD4	MYO5A	1	SARC
RFX7	NEDD4:AKAP13:RAB27A	3	BRCA:HNSC:LUSC
TEX9	TCF12:FBN1	2	BRCA:MESO
MNS1	PIEZO1:TET3	2	PRAD
ZNF280D	NUP153:RFX7	2	STAD:OV
TCF12	CGNL1:HOXB3:CCNB2	3	STAD:LIHC:UCEC:BRCA
LINC01413	ZNF597	1	BRCA
CGNL1	POLG	1	LIHC
ALDH1A2	ICE2:THSD4:CLN6	3	GBM:BRCA:PRAD
AQP9	LIPC	1	STAD
LIPC	MTMR3:RFX7:KNL1	3	MESO:BLCA:CESC
ADAM10	ALDH1A2:THSD4	2	SKCM:BLCA:LIHC:STAD:OV
AC090515.4	TCF12	1	PRAD
SLTM	RNF111	1	BLCA:CESC
RNF111	ZNF280D:CCNB2	2	STAD:BRCA:THYM
FAM81A	GCNT3	1	STAD
GTF2A2	SLTM:CCDC97	2	STAD:LUAD
BNIP2	GNB5:ADAM10	2	BLCA:LUSC
FOXB1	MYO1E:TLN2:MINDY2	3	BLCA:OV:PRAD
AC009654.1	CEP152	1	ACC
ANXA2	GTF2A2	1	BRCA
ICE2	ANXA2	1	KIRC:HNSC:LUSC
RORA-AS1	GDPGP1:IGF1R	2	BRCA
RORA	ANXA2:FSTL1:NUP153:TXNDC11:HMGN1	5	LUSC:SARC:HNSC:LUAD:BRCA
AC107241.1	IGF1R	1	BRCA
AC104574.2	SH3PXD2A:BCL2L11:SERTAD3:RORA:MSL2	5	LIHC:PRAD:STAD:THCA
AC018618.1	CSNK1G1	1	BRCA
VPS13C	TLN2:NAALADL2	2	SARC:SKCM
AC104590.1	DIP2B	1	UCEC
TLN2	LLGL1:RAB8B:NEDD4L:RNF111	4	SARC:LIHC:BRCA:ESCA
TPM1	NIN:CNOT4	2	LIHC:BRCA
LACTB	RAB8B	1	STAD
RAB8B	USP3:ARHGAP17	2	STAD:LIHC
APH1B	CORO2B	1	SARC
AC007950.1	CA12:USP3	2	HNSC:BRCA
HERC1	VPS13C:CXADR:TMTC2:GUSB	4	STAD:PRAD:SARC:OV
DAPK2	HERC1:TP53BP1:CUL4B	3	BRCA:BLCA:LGG:LIHC
FAM96A	DAPK2:SNX1:SMAD6:TLN2	4	PAAD:BRCA:READ:LGG:LIHC
SNX1	FAM96A:AGAP1:ZNF609	3	BRCA:SARC:LUSC
CSNK1G1	PPIB:DAPK2:BBS4:NRIP1:DPYD	5	OV:BRCA:ESCA:PRAD:KIRC:SARC
AC087632.1	DPYD:HERC1:FAM96A:PDZD8	4	OV:UCEC:STAD:BRCA:LUSC
TRIP4	AC087632.1:PLEKHO2:DNAJC17	3	BRCA:LGG:SARC
ZNF609	PLEKHO2:IQGAP1:PIAS1:ADAMTSL4	4	BRCA:STAD:PRAD:SKCM
OAZ2	MPRIP	1	SARC
RBPMS2	NPLOC4	1	OV
ANKDD1A	INSR:HACD3	2	OV:BRCA
AC069368.1	HACD3	1	OV
MTFMT	PCLAF	1	BLCA
SLC51B	SCHLAP1	1	BLCA
UBAP1L	GPI	1	SKCM
CLPX	AC087632.1:FAM81A	2	PAAD:OV
CILP	CLPX	1	OV
PARP16	CD276	1	BRCA
IGDCC4	CLPX	1	PRAD
DPP8	NEO1	1	PRAD
HACD3	SPECC1L	1	UCEC
INTS14	AKAP13:SMAD3:ARHGEF28	3	OV:SARC
SLC24A1	ATXN1:LINC01169	2	SARC:STAD
DENND4A	ZFYVE1:INTS14	2	LGG:HNSC
MEGF11	DENND4A:SIK2	2	SKCM:LGG
DIS3L	SMAD3	1	BRCA
MAP2K1	SMAD3	1	KIRC:OV
SNAPC5	BPIFB1	1	BRCA
RPL4	MEGF11	1	LGG
SMAD6	TMEM266	1	OV
LINC02206	AC091167.7:SRC	2	STAD:UCS
AC087482.1	NCOA1:SHROOM3:DENND4A:AGBL1	4	HNSC:STAD:SARC:BRCA
SMAD3	IQCH:PIAS1:CHP1	3	STAD:OV
AAGAB	SMAD3	1	SARC:LUSC:BLCA
IQCH	RPTOR:MAP2K5	2	PRAD:CESC
IQCH-AS1	CD276	1	SARC
C15orf61	MAP2K5	1	BLCA:LGG
MAP2K5	SNRNP40:PATJ:PSMD8:SNX9:EIF2AK1	5	STAD:READ:BLCA:OV:PRAD
SKOR1	EVI5L:ARHGEF2	2	CESC:LAML
AC009292.2	ARNT2	1	SARC
PIAS1	CHKA:CLN6:WSCD1:NF2:CORO2B:KIF23	6	OV:SARC:MESO:LIHC
FEM1B	EIF2AK4	1	LUSC
ITGA11	SLCO3A1	1	SARC
ANP32A	LRRC6	1	BRCA
NOX5	AKAP13	1	OV
EWSAT1	GLCE	1	LIHC
GLCE	DRAIC	1	BRCA
AC026992.1	CLN6	1	BRCA
PAQR5	TUBB2B:GNG7:KIF23	3	BRCA:SARC:ESCA
AC027237.3	AKAP13	1	LUAD
KIF23	RPLP1	1	BRCA
RPLP1	ABHD14B	1	ESCA
AC100826.1	STIM1	1	BRCA
LINC00593	VPS13C:AVL9	2	SKCM:STAD
UACA	TMC6:SLTM	2	PRAD:BRCA
THAP10	TLE3:SIN3A	2	HNSC:STAD
LRRC49	SLC22A23:CEMIP:THSD4:UACA	4	SKCM:OV:BRCA:CESC
THSD4	NEO1:INO80	2	OV
NR2E3	GRIP1	1	PCPG
AC022872.1	PKM	1	BRCA
SENP8	DAPK2:SMAD3:ARIH1:ZFAND6	4	OV:BRCA:HNSC
PKM	GRAMD2:MYOF:THSD4:AP000777.3:EIF2AK4	5	HNSC:ESCA:OV:CESC:LGG
PARP6	MYO9A	1	UCEC
CELF6	MYO9A	1	BLCA
AC009690.1	MYO9A	1	OV
AC009690.2	ARIH1:NEO1	2	UCS
ARIH1	GKAP1	1	UCEC
LINC02259	PPP4R3A	1	PRAD
BBS4	HEXA:NEO1	2	LUSC:SARC
ADPGK	ETFA:IGF1R:SORD	3	BRCA:PRAD
ADPGK-AS1	IREB2	1	SKCM
NEO1	VDAC2	1	PRAD
REC114	THSD4	1	CESC
NPTN	USP32	1	OV
CD276	KIAA0907	1	CESC
C15orf59	CLN6	1	LUAD
C15orf59-AS1	ZFAND6	1	SARC
TBC1D21	OLFM2	1	BRCA
LOXL1-AS1	SIN3A	1	SKCM
LOXL1	RORA	1	SARC
PML	RARA	1	LAML
AC010931.3	NPTN	1	OV
STRA6	ETFA	1	BRCA
CCDC33	UBL7-AS1	1	OV
AC023300.2	UBR1:TMED1	2	LIHC:UCS
CYP11A1	SIN3A:MGAT5B:SLMAP	3	OV:BLCA:UCS
SEMA7A	SIN3A	1	COAD
UBL7	MAPK9	1	OV
CYP1A1	EDC3	1	STAD
LMAN1L	PPCDC	1	LIHC
SCAMP2	PPCDC	1	BRCA
COX5A	SEMA7A	1	STAD
SCAMP5	HMG20A	1	LIHC
C15orf39	SPRED1	1	ESCA
SIN3A	EFTUD2:MAN2C1:PRKAA1:MAPK14	4	PRAD:BRCA:ESCA:LAML:SKCM
PTPN9	RORA:SIN3A	2	SARC:ESCA
SNUPN	RAP1B	1	SKCM
SNX33	UBE2Q2:FBXO22	2	ESCA:BRCA
CSPG4	SIN3A	1	BRCA
ODF3L1	UBE2Q2	1	BRCA
FBXO22	RSRP1	1	PRAD
NRG4	UBE2Q2:PEAK1	2	BRCA:SKCM
TMEM266	CSK:SCAPER	2	SKCM:HNSC
SCAPER	UBE2Q2:TNRC6C:ABHD17C	3	ESCA:BRCA:LGG
RCN2	HMG20A:ARID1B:CCDC33	3	LUSC:SKCM
PSTPIP1	PEAK1	1	SKCM
AC090181.1	PTPN9	1	SKCM
TSPAN3	MICU1:USP8:ETFA:SCAPER	4	BRCA:SARC:OV:SKCM
PEAK1	ADAMTS7:ISL2:SCAPER	3	SARC:SKCM:ESCA
HMG20A	NPTN:ABHD17C	2	SKCM:LGG
LINGO1	ATP8B4:SCAPER:PEAK1:ANKRD11:NRG4	5	SARC:OV:CESC:BRCA:HNSC
TBC1D2B	PEAK1:TSPAN3	2	OV:BLCA
SH2D7	IDH3A	1	HNSC
CIB2	TBC1D2B:SEMA4B:KIAA0319L:DNAJC17:PEAK1	5	LIHC:STAD:LUAD:BLCA
ACSBG1	CHD2:TBC1D2B	2	SKCM:UCEC
DNAJA4	HYKK:AC051619.6	2	LIHC:SKCM
WDR61	AC018521.5:MEF2A	2	UCEC:SKCM
AC090607.1	KIAA0355	1	OV
CRABP1	PDE4D	1	LUAD
HYKK	MYO19	1	PRAD
PSMA4	PPIE	1	OV
CHRNA3	WEE1:TSPAN3	2	CESC:LUAD
CHRNB4	SCAPER:STK33	2	PRAD:MESO
ADAMTS7	DCAKD	1	PCPG
CTSH	IREB2:DSCR3	2	PRAD:LIHC
RASGRF1	CTSH:TBC1D2B:IQGAP1	3	BRCA:OV:SARC:KIRP:LUAD
ANKRD34C-AS1	DHRS7B	1	SARC
ST20-MTHFS	IGF1R	1	OV
MTHFS	MYO1E	1	OV
ZFAND6	EFHC1	1	STAD
ARNT2	RORA	1	BRCA
ABHD17C	CEMIP:AKAP13:LPP	3	STAD:OV:BRCA
AC027808.1	ASB7	1	SARC
AC104041.1	FBN2	1	SARC
EFL1	IGF1R:TIPRL	2	STAD:SARC
GOLGA6L10	SIN3A	1	BRCA
CPEB1	AC104041.1	1	THCA
AP3B2	SPRED1	1	READ
WHAMM	EP400	1	PRAD
HOMER2	CHD2:RASGRF1:AP3B2	3	BRCA:PRAD
C15orf40	TMC3:RPS17	2	LGG:BRCA
BTBD1	FBXL20	1	SARC
TM6SF1	HOMER2:SPECC1L	2	OV:SARC
AC024270.1	HOMER2	1	PRAD
BNC1	PDE8A	1	SKCM
ADAMTSL3	MAP2K5:RGMA:ITGA11	3	BRCA:LGG:SARC
AC048382.5	UBR1	1	STAD
SEC11A	AKAP13	1	LUSC
ZNF592	BLM	1	STAD
PDE8A	AKAP13	1	LIHC:OV
AKAP13	ADAMTS17	1	SKCM
AGBL1	THBS1:PTPN9	2	HNSC:BRCA
AC020687.1	PDE7A	1	BRCA
NTRK3	VPS18:ETV6:EML4:RBPMS:LYN:FAT1	6	COAD:BRCA:SKCM:THCA:PAAD:HNSC:CESC
AC013489.1	BTBD1	1	LUSC
MRPS11	SEMA4B:DYNC1LI1	2	LIHC:PRAD
ACAN	ABHD2:ST20-MTHFS	2	BRCA:STAD
AC013565.1	IQGAP1	1	KIRC
ABHD2	BLM:IQGAP1	2	STAD
RLBP1	MFGE8	1	PRAD
FANCI	RSU1:DPH6-AS1:PCGF3	3	SARC:LUSC
MIR9-3HG	SEMA4B:FEZF1-AS1:ZNF609	3	LUSC:LGG:SKCM
TICRR	DPP8	1	BRCA
PLIN1	ZNF710	1	KIRC
WDR93	IGF1R:FANCD2:BLM:SNX18:FAM102A	5	BRCA:STAD:ESCA
MESP1	BTBD1:PEX11A:NUP153	3	BRCA:UCEC:SKCM
MESP2	IQGAP1:CRTC3	2	BRCA:UCS
ANPEP	CPT1A	1	KIRC:LIHC
ZNF710	SEMA4B:UBALD2:NGRN	3	LIHC:STAD:UCEC
IDH2	ARPIN:RBM6	2	OV:LUSC
AC092769.1	TBC1D2B:SEMA4B:IQGAP1:VRK2	4	STAD:LUAD:LUSC:ESCA:BRCA
SEMA4B	AC091167.7:IQGAP1:AC091544.7	3	LUAD:PAAD:STAD:BRCA
CIB1	PDE8A:ICE2	2	BRCA
NGRN	IQGAP1	1	ESCA:SKCM
AC091167.7	ZNF774:IQGAP1	2	CESC:LUSC
IQGAP1	CRTC3:BLM	2	BRCA:SKCM
CRTC3	C16orf70:CPEB1:GEMIN4	3	STAD:SKCM:LUAD
CRTC3-AS1	IGF1R	1	BRCA
LINC01585	CHD2	1	PRAD
BLM	RCCD1:UNC45A:CSTF1	3	LUAD:SKCM
HDDC3	SLCO3A1	1	LGG
PRC1	CDH11	1	BRCA
PRC1-AS1	NHLRC2	1	UCEC
VPS33B	SEC11A	1	SKCM
SV2B	MEF2A:PRC1	2	SARC:STAD
SLCO3A1	PDE8A:C15orf41	2	SKCM:COAD
C15orf32	CLN3	1	HNSC
AC091544.2	CHD2	1	BRCA:BLCA
FAM174B	CHD2	1	LUAD
AC013394.1	SIN3A:AKAP8L	2	STAD:ESCA
LINC01578	CHD2	1	PRAD:OV
CHD2	AKAP13	1	LUSC
RGMA	TCF12:DLGAP4:FAM174B	3	STAD:UCEC:LUAD
AC110023.1	AC087632.1:MCTP2:KLHL22	3	BRCA:BLCA
LINC01579	LRRC28	1	LUSC
LINC01580	MCTP2	1	BRCA
MCTP2	PKM	1	BRCA
AC087633.2	IREB2:CHD2:OSBPL10	3	OV:LUSC:STAD
AC087636.1	IQGAP1:CASD1	2	BRCA
LINC01197	STRBP	1	STAD
AC015574.1	IGF1R:BAG4	2	BRCA
AC024337.1	AC018574.1	1	BLCA
AC012409.2	SCAPER	1	SKCM
AC087477.2	PXDN	1	SARC
AC087477.5	MYO9B	1	ESCA
LINC02254	IGF1R:C10orf90:FBN1	3	BRCA:SKCM:SARC
LINC02253	LRRK1:UBE3A	2	ESCA:SKCM
LINC00923	AC026523.1:LINC02254	2	ACC:SKCM
LINC02251	AKAP13	1	BRCA
AC022523.1	DKC1	1	BRCA
IGF1R	CHID1:MFGE8	2	BRCA
PGPEP1L	ARHGAP35:GRID1:DENND5A	3	PCPG:BRCA
AC036108.1	WDR72	1	STAD
AC036108.2	WDR72	1	STAD
TTC23	CHSY1:BBS4:ADK	3	PCPG:BRCA
LRRC28	PBLD:MEF2A:TTC23:ADAMTS17	4	BRCA:OV:LUAD:SARC:THYM
MEF2A	GPALPP1	1	PRAD
LYSMD4	C15orf41	1	BRCA
NUBP1	CLEC16A:CREBBP	2	STAD:BRCA
CIITA	SNX29:CLEC16A	2	CESC:STAD:OV
DEXI	ASB7:MARF1:CDH1:SULF2	4	PRAD:LGG:BRCA:STAD
CLEC16A	MKL2:PLA2G10:CORO7:RMI2:SNX29:CCDC28A	6	BRCA:LUAD:PRAD:UCS:OV
AC007014.1	ATF7IP2	1	BRCA
SOCS1	GNL1	1	CESC
RMI2	CORO7:TEKT5:POLR3E	3	ESCA:BRCA
AC099489.1	ATXN2L:PVT1	2	BRCA
LITAF	RBMS2:CLEC16A:SNX29:SLX4:OSBPL2	5	GBM:CESC:BRCA:DLBC:PRAD:HNSC
SNN	EMP2	1	CESC
TXNDC11	LITAF:CDH13:CLEC16A	3	PRAD:CESC:STAD
ZC3H7A	TXNDC11:LITAF:NEDD4L	3	BRCA:LUSC:ESCA:OV:STAD:CESC:PRAD
BCAR4	CTTN:ERBB3:EMP2:SOCS1:AC009121.2:LITAF:SNN:TXNDC11:ZC3H7A:MKL2:NDE1:TMC5:SBK1:BOLA2:ALDOA:ADGRG1:NEDD4L:EPS15L1:PNRC2:BPIFB1:ANXA4:SRSF3:CSNK1D:SRRM2	24	BRCA:LUAD:STAD:UCEC:CESC:SKCM:MESO:BLCA:COAD:ESCA:PRAD:OV
GSPT1	TXNDC11:ZC3H7A	2	STAD:BLCA:OV:BRCA
NPIPB2	LITAF:TXNDC11:GSPT1	3	ESCA:LIHC:STAD
TNFRSF17	SNX29	1	UCEC:LIHC:LUAD
CACNA1H	FBXL16	1	BRCA
SNX29	MKL2:EDC3:TMEM241:ALG8:MGRN1	5	BRCA:LUAD:STAD:HNSC
AC010333.2	SULT1A1:USP7	2	STAD:GBM
CPPED1	GRIN2A:CARHSP1	2	CESC:BRCA
AC109597.1	USP31	1	STAD
UBE2I	TSC2:PKD1:GNPTG	3	STAD:CESC:ACC:KIRP
SHISA9	ZFC3H1:MKL2:DNM3	3	BRCA:SARC
U91319.1	DNM3:SNX29:BFAR:PPM1D	4	SARC:BLCA:LUAD:BRCA
U95743.1	MSI2:DYNC2H1	2	LUAD:BRCA
AC010401.2	ATF7IP2:AC007014.1	2	BRCA
UNKL	SLC38A1	1	LIHC
AL032819.1	ZNF598	1	GBM
MKL2	BFAR:FAM219A:PAM16:HSP90AB1	4	OV:LGG:LUAD:ESCA
PARN	MAP3K1:NUPL2:EDEM3	3	BRCA:THCA
CLCN7	C1orf174:LAMA5	2	LIHC:READ
BFAR	EMP2	1	BRCA
TELO2	MAPK8IP3	1	PRAD
RRN3	PARN:PDXDC1	2	BRCA:OV
IFT140	DCAF4:AXIN1:ELOA:CRAMP1:CREBBP	5	OV:BRCA:ESCA:UCEC
AC140504.1	NDE1:ABCC1:RARA:KLHL3	4	ESCA:CESC:BRCA:OV
TMEM204	CRAMP1:TSC2	2	SARC:BRCA
C16orf45	ABCC1	1	THYM
NDE1	ABCC1:MYH11	2	CESC:KIRP
MYH11	CIB1:RRN3:SMG1:B2M:CBFB:NTAN1:NDE1:CNKSR3:BCR:NOMO1:RAB40C	11	STAD:SARC:BRCA:ESCA:LAML:KIRP:LUSC
FOPNL	CPM:IRF1	2	LUAD:STAD
ABCC1	MDM1:SMG1	2	BRCA:ESCA
AL133297.2	CRAMP1	1	BRCA
CRAMP1	MYO9A	1	BRCA
JPT2	MAPK8IP3	1	UCEC
XYLT1	POLB	1	ESCA
MAPK8IP3	TSC2:TRAF7	2	LUSC:BLCA
AC010601.1	ERI2	1	LUSC
HAGH	SLC7A8:KIF1B	2	OV:UCS
MEIOB	P4HTM:SPSB3	2	BRCA
FAHD1	TBL3:ADCY9:NUDT16L1	3	LIHC:OV:GBM
ARL6IP1	RPS15A	1	BRCA:LGG
SMG1	RPS15A:PARN	2	SKCM:BRCA
TMC7	DYM	1	SKCM
AC099518.4	SMG1	1	BRCA:HNSC:ESCA
LUC7L	NPRL3:CREBBP:FAM234A:ATP9B:SHROOM3	5	BLCA:LUAD:PAAD:HNSC:SARC:ESCA
TMC5	SMG1	1	BRCA
AC130456.3	SMG1	1	OV
CCP110	RSL1D1	1	BLCA
NDUFB10	NFIX	1	LIHC
RPS2	COL1A1:TMEM179B:HAGH:SFTPB	4	OV:BRCA:LUSC
C16orf62	FAM222B:CENPN:FAM192A:ABAT:IQCK:NFE2L3:ZNF598:FAM129B:NFATC2IP	9	OV:PRAD:BRCA:STAD:ESCA:BLCA:SARC
KNOP1	GLE1	1	ESCA
AC027130.1	SEZ6L2	1	ESCA
IQCK	MARF1	1	BLCA
GPRC5B	TMC5:PREP	2	ESCA:OV
ZNF598	HAGH:NUBP2	2	STAD:OV
NPW	TSC2	1	BRCA
PDILT	PPFIBP1	1	BRCA
ACSM2A	C16orf72:ACSM3	2	BRCA:LIHC
ACSM2B	NOTCH2	1	KIRP
ACSM1	IKBKE:IGF2BP3:RALGAPA2	3	KIRC:BRCA:LIHC
ACSM3	EEF2K:NET1	2	KIRP:PRAD
TSC2	GNB1	1	ACC
ERI2	USP31	1	PRAD
DNAH3	ERI2:TMEM159:GNL2	3	OV:BRCA
TMEM159	UBFD1:ERI2	2	LGG:BLCA
ZP2	HADH	1	PAAD
CRYM	ERI2:NFAT5	2	OV:READ
METTL9	MED13L:TNRC6A	2	SKCM:LUSC
TRAF7	CORO7	1	LGG
OTOA	BCL7C:CEP112:GSR	3	BRCA:LUSC
CASKIN1	CREBBP	1	BLCA
UQCRC2	RALGAPA2:ZDHHC20:EEF2K:GINS4	4	STAD:OV:BRCA
C16orf52	EEF2K	1	OV:BRCA
VWA3A	CIITA	1	LUAD
PGP	ATXN2L	1	BRCA
EEF2K	MARF1	1	BLCA
E4F1	ANKRD11:ACTB	2	CESC:LUAD
CDR2	C16orf62	1	PRAD
ECI1	PKD1:SPSB3:KMT5B	3	STAD:ESCA
RNPS1	KMT5B	1	ESCA
HS3ST2	VOPP1	1	LUSC
ABCA3	PARN	1	BRCA
COG7	ATP8B1	1	BRCA
GGA2	PNLIP	1	PAAD
UBFD1	PMM2	1	BRCA
